data.latitude,data.longitude,data.type,data.name,data.number,data.postal_code,data.street,data.confidence,data.region,data.region_code,data.county,data.locality,data.administrative_area,data.neighbourhood,data.country,data.country_code,data.continent,data.label
33.555243,-81.717497,locality,Aiken,NA,NA,NA,1,South Carolina,SC,Aiken County,Aiken,NA,NA,United States,USA,North America,"Aiken, SC, USA"
33.555243,-81.717497,locality,Aiken,NA,NA,NA,1,South Carolina,SC,Aiken County,Aiken,NA,NA,United States,USA,North America,"Aiken, SC, USA"
35.128683,-106.579128,locality,Albuquerque,NA,NA,NA,1,New Mexico,NM,Bernalillo County,Albuquerque,NA,NA,United States,USA,North America,"Albuquerque, NM, USA"
35.128683,-106.579128,locality,Albuquerque,NA,NA,NA,1,New Mexico,NM,Bernalillo County,Albuquerque,NA,NA,United States,USA,North America,"Albuquerque, NM, USA"
45.09234,-64.5104,locality,Aldershot,NA,NA,NA,1,NA,NA,NA,Aldershot,NA,NA,Canada,CAN,NA,"Aldershot, Canada"
52.59431,-1.461208,macroregion,England,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,United Kingdom,GBR,Europe,"England, United Kingdom"
31.21564,29.95527,locality,Alexandria,NA,NA,NA,1,Alexandria,IK,Sidy Gaber,Alexandria,NA,NA,Egypt,EGY,Africa,"Alexandria, Egypt"
38.80484,-77.04692,locality,Alexandria,NA,NA,NA,1,Virginia,VA,City of Alexandria,Alexandria,NA,NA,United States,USA,North America,"Alexandria, VA, USA"
51.210106,-1.477921,locality,Andover,NA,NA,NA,1,Hampshire,NA,Hampshire,Andover,Andover,NA,United Kingdom,GBR,Europe,"Andover, England, United Kingdom"
51.210106,-1.477921,locality,Andover,NA,NA,NA,1,Hampshire,NA,Hampshire,Andover,Andover,NA,United Kingdom,GBR,Europe,"Andover, England, United Kingdom"
-29.53605,-62.26363,locality,Argentina,NA,NA,NA,0.6,Santiago del Estero,SE,Aguirre,Argentina,NA,NA,Argentina,ARG,South America,"Argentina, SE, Argentina"
28.093304,-16.68371,locality,Arona,NA,NA,NA,1,Santa Cruz de Tenerife,CN,NA,Arona,Arona,NA,Spain,ESP,Europe,"Arona, CN, Spain"
28.093304,-16.68371,locality,Arona,NA,NA,NA,1,Santa Cruz de Tenerife,CN,NA,Arona,Arona,NA,Spain,ESP,Europe,"Arona, CN, Spain"
30.222346,-97.836521,locality,Austin,NA,NA,NA,1,Texas,TX,Travis County,Austin,NA,NA,United States,USA,North America,"Austin, TX, USA"
30.222346,-97.836521,locality,Austin,NA,NA,NA,1,Texas,TX,Travis County,Austin,NA,NA,United States,USA,North America,"Austin, TX, USA"
42.03847,13.425743,locality,Avezzano,NA,NA,NA,1,L'Aquila,AQ,NA,Avezzano,Avezzano,NA,Italy,ITA,Europe,"Avezzano, AQ, Italy"
